client,client_entities_total,bank,entities_at_bank,accounts_at_bank,active_accounts_at_bank,tx_total,tx_last_90d,monthly_amount_usd,mrr_usd,hubspot_deal,match_confidence
Casagri de Lara,1,Banesco,1,2,2,7705,3036,490,700,Casagri,high
Grupo Ramvall,5,Banesco,5,6,6,6072,2866,600,900,Latinbien (Grupo Ramvall),high
Bandecorp,7,Banesco,2,3,2,8006,2832,1000,900,Bande Corp,high
GRUPO DINAMO,5,Banesco,3,7,3,14014,2503,375,,Dinamo,high
VIVA SUPERCENTRO,1,Banesco,1,3,1,11140,2478,749,,Viva Supercentro,high
Asoportuguesa,5,Banesco,3,6,4,7185,2435,750,,ASOPORTUGUESA,high
Centro Medico de Oncologia,1,Banesco,1,1,1,4700,2144,455,650,Centro Medico de Oncologia - New Deal,high
Grupo NSM,14,Banesco,5,6,5,9881,2097,499,,Grupo NSM,high
"Corporación JSL, C.A.",1,Banesco,1,4,2,28017,1934,599,,Crustissimo,high
Noordzee Fantasie Luxury Group,1,Banesco,1,2,1,2429,1911,,,,no_won_deal
Procesadora Marsoca,3,Banesco,2,2,2,11352,1880,350,,Marsoca,high
Grupo traki,1,Banesco,1,4,1,10914,1855,349,,Traki,high
TORONDOY,2,Banesco,1,3,2,7852,1813,800,1000,Lácteos Torondoy,high
Comercializadora Tiares CA,1,Banesco,1,3,1,6244,1812,350,350,Comercializadora Tiares,high
Tealca,1,Banesco,1,3,3,18860,1749,300,,Tealca,high
Grupo Ama de casa,3,Banesco,1,6,5,13160,1602,250,,Ama de Casa,medium
Grupo Quo Vadis,1,Banesco,1,2,2,9574,1358,349,,Quo Vadis Viajes,high
Laboratorios Biotech,2,Banesco,1,1,1,3001,1236,350,350,Laboratorios Biotech,high
Protinal,12,Banesco,1,2,1,1090,1089,600,600,Protinal Proagro,high
"TAMAYO & CIA.,S.A.",2,Banesco,1,1,1,6950,920,300,,Tamayo & CIA S.A,high
Disbattery Lubricantes S.A,1,Banesco,1,2,2,7621,883,750,,Disbattery,medium
Arawak,1,Banesco,1,2,1,2983,878,332.5,475,Alimentos Arawak,high
Besser,1,Banesco,1,2,2,835,835,750,,Besser Solutions - New Deal,medium
EUROMERCADO C.A.,2,Banesco,2,9,1,917,815,729,777.81,Euromercado,high
herramientas sbdk,1,Banesco,1,2,1,804,803,,,,no_won_deal
FLETY,2,Banesco,2,4,2,5644,755,130,,Flety,high
Grupo Velutini,9,Banesco,9,25,16,11582,745,1999,,Grupo Velutini,high
Cencozotti,1,Banesco,1,2,2,3596,744,449,,Cencozotti,high
Sizuca,1,Banesco,1,2,2,3338,711,350,,Sizuca,high
SEGVEN,1,Banesco,1,2,1,1373,711,849,849,Seguros Venezuela,high
GRUPO MOLINA VIAJES,2,Banesco,1,2,1,2393,613,450,,Molina Viajes,high
AVICOLA LAS TUNAS,2,Banesco,1,3,2,3699,570,799,799,Alimentos Las Tunas C.A,high
Real Seguros S.A.,1,Banesco,1,2,1,1302,524,1000,1250,Real Seguros,high
Agroavicola del Llano,1,Banesco,1,2,1,491,490,3500,,Agroavícola del Llano,high
Crecer,2,Banesco,2,6,6,24813,435,3000,,Seguros Crecer,high
Grupo Parawa,4,Banesco,2,4,2,4590,425,350,,Grupo Parawa,high
La Sante,1,Banesco,1,2,1,2971,370,350,,La Sante,high
GRUPO BAZZI,2,Banesco,2,4,2,3067,355,450,,Grupo Bazzi,high
Corporación Tu Aliado Digital,3,Banesco,1,1,1,212,212,1000,,Tu Aliado Venezuela,high
Sanu Corp,2,Banesco,1,2,1,3075,203,249,,Sanucorp,high
Socado Coffee Bar,1,Banesco,1,2,1,3774,182,400,,Socado,medium
Valles del Turbio,2,Banesco,1,2,1,945,175,250,250,Importadora VDT,high
Somos Jomi C.A,1,Banesco,1,2,1,249,90,349,,Jomi App,high
Laboratorios Elmor,3,Banesco,1,3,1,110,54,349,,Elmor,high
Marambio Rivillo Perez Pineda,3,Banesco,1,2,1,425,40,50,,Marambio Rivillo Perez Pineda,high
Grupo Gipsy,16,Banesco,1,1,1,327,33,1000,,Grupo Gipsy,high
Tendencia Virtual,1,Banesco,1,2,1,3558,17,,,,no_won_deal
FIVENCA,5,Banesco,1,2,2,93,17,500,,Fivenca,high
GRUPO FUTURA,11,Banesco,2,4,0,91,0,1000,,Futura Retail,high
Koopex,1,Banesco,1,1,0,2461,0,,,,no_won_deal
EWAY,1,Banesco,1,2,0,183,0,449,,Eway,high
Grupo Canaima,176,Banesco,176,178,0,37519,0,750,,Grupo Canaima,high
Hispana de Seguros,1,Banesco,1,1,0,67436,0,599,,Hispana de Seguros,high
