client,client_entities_total,bank,entities_at_bank,accounts_at_bank,active_accounts_at_bank,tx_total,tx_last_90d
Marambio Rivillo Perez Pineda,3,Banesco,1,2,1,425,40
Grupo Gipsy,16,Banesco,1,1,1,327,33
Tendencia Virtual,1,Banesco,1,2,1,"3,558",17
FIVENCA,5,Banesco,1,2,2,93,17
Tesote Developer,1,Banesco,1,6,1,164,12
GRUPO FUTURA,11,Banesco,2,4,0,91,0
Koopex,1,Banesco,1,1,0,"2,461",0
EWAY,1,Banesco,1,2,0,183,0
Grupo Canaima,176,Banesco,176,178,0,"37,519",0
Hispana de Seguros,1,Banesco,1,1,0,"67,436",0
Grupo Avila,5,Banesco,1,1,0,"3,802",0
Granos Sagrados ,1,Banesco,1,1,0,139,0
ANV,1,Banesco,1,2,0,696,0
Dimassi,1,Banesco,1,2,0,"3,567",0
CONSORCIO MEDISOLUTIONS,7,Banesco,5,10,0,"5,843",0
NETUNO,3,Mercantil,3,10,10,"859,713","205,893"
FARMABIEN,1,Mercantil,1,13,12,"113,759","97,627"
Gruporica,2,Mercantil,2,33,20,"134,414","58,321"
Cines unidos,2,Mercantil,2,6,4,"337,095","29,930"
CAMOR INTERNACIONAL,9,Mercantil,6,10,6,"116,174","29,550"
INVERSIONES PAD 21,8,Mercantil,5,10,5,"70,365","25,948"
"Estar Seguros, S.A.",1,Mercantil,1,2,2,"107,401","19,280"
Supermercados Rio Vida,3,Mercantil,1,3,2,"152,919","10,600"
Protinal,12,Mercantil,11,24,13,"11,166","9,479"
COSEIMPA,2,Mercantil,2,23,9,"26,563","7,338"
KAIZEN,10,Mercantil,10,10,10,"37,835","6,956"
AVICOLA LAS TUNAS,2,Mercantil,2,5,4,"16,638","6,951"
Grupo Gipsy,16,Mercantil,16,35,20,"56,656","6,746"
Grupo Landa,8,Mercantil,8,21,16,"53,709","6,265"
Procesadora Marsoca,3,Mercantil,2,3,2,"20,347","5,787"
Corporación Angles,1,Mercantil,1,12,10,"21,725","5,676"
Tealca,1,Mercantil,1,3,3,"302,538","4,793"
Socado Coffee Bar,1,Mercantil,1,10,7,"9,674","4,593"
"Corporación JSL, C.A.",1,Mercantil,1,4,2,"7,908","3,664"
Maxy Sweet,5,Mercantil,4,10,4,"4,146","3,405"
"Alimentos Alvarigua, c.a.",1,Mercantil,1,2,1,"9,511","3,295"
Comercializadora Tiares CA,1,Mercantil,1,5,5,"9,108","3,204"
Corporación Tu Aliado Digital ,3,Mercantil,3,11,4,"3,202","3,195"
VIVA SUPERCENTRO,1,Mercantil,1,3,2,"13,455","2,910"
alimentosmunchy,1,Mercantil,1,3,2,"11,722","2,809"
MARCAS PROPIAS,2,Mercantil,2,13,9,"2,496","2,492"
Casagri de Lara ,1,Mercantil,1,7,3,"6,650","2,402"
ALIMENTOS LPRADO,2,Mercantil,2,3,2,"13,017","2,348"
PASTCA,1,Mercantil,1,2,2,"2,140","2,140"
Centro Medico de Oncologia,1,Mercantil,1,2,1,"4,258","1,988"
APB GROUP,11,Mercantil,8,22,7,"2,372","1,962"
MOTASA,4,Mercantil,3,5,4,"5,553","1,915"
ARMI,1,Mercantil,1,2,2,"8,484","1,855"
Grupo Quo Vadis,1,Mercantil,1,3,3,"4,400","1,662"
SEGVEN,1,Mercantil,1,3,3,"4,293","1,585"
Laboratorios Biotech ,2,Mercantil,1,3,3,"3,942","1,439"
